start_time_datetime,(All),,,
,,,,
Row Labels,Sum of start_time_hour,Count of start_time_datetime,Sum of duration_second,Sum of totalWeightSum
1 AM,,,,
Strawberries,1,1,3,154400
Apr,1,1,3,154400
:05,2,2,10,2142536
Strawberries,2,2,10,2142536
Apr,2,2,10,2142536
:06,5,5,29,1017991
Strawberries,5,5,29,1017991
Apr,5,5,29,1017991
:09,6,6,54,3283888
Strawberries,6,6,54,3283888
Apr,6,6,54,3283888
:10,4,4,40,1418581
Strawberries,4,4,40,1418581
Apr,4,4,40,1418581
:13,6,6,78,5680816
Strawberries,6,6,78,5680816
Apr,6,6,78,5680816
:14,5,5,69,1714467
Strawberries,5,5,69,1714467
Apr,5,5,69,1714467
:18,8,8,136,4246912
Strawberries,8,8,136,4246912
Apr,8,8,136,4246912
:19,4,4,72,942968
Strawberries,4,4,72,942968
Apr,4,4,72,942968
:21,4,4,84,581896
Strawberries,4,4,84,581896
Apr,4,4,84,581896
:22,8,8,173,2027154
Strawberries,8,8,173,2027154
Apr,8,8,173,2027154
:25,6,6,150,3793024
Strawberries,6,6,150,3793024
Apr,6,6,150,3793024
:26,4,4,100,665647
Strawberries,4,4,100,665647
Apr,4,4,100,665647
:30,8,8,240,3866635
Strawberries,8,8,240,3866635
Apr,8,8,240,3866635
:31,1,1,31,91232
Strawberries,1,1,31,91232
Apr,1,1,31,91232
:32,6,6,192,1268416
Strawberries,6,6,192,1268416
Apr,6,6,192,1268416
:34,8,8,268,759121
Strawberries,8,8,268,759121
Apr,8,8,268,759121
:37,7,7,259,6738640
Strawberries,7,7,259,6738640
Apr,7,7,259,6738640
:38,6,6,228,1038095
Strawberries,6,6,228,1038095
Apr,6,6,228,1038095
:41,7,7,287,8365248
Strawberries,7,7,287,8365248
Apr,7,7,287,8365248
:42,6,6,252,962582
Strawberries,6,6,252,962582
Apr,6,6,252,962582
:45,6,6,270,6226808
Strawberries,6,6,270,6226808
Apr,6,6,270,6226808
:46,1,1,45,31968
Strawberries,1,1,45,31968
Apr,1,1,45,31968
:47,6,6,276,733375
Strawberries,6,6,276,733375
Apr,6,6,276,733375
:50,7,7,343,8157896
Strawberries,7,7,343,8157896
Apr,7,7,343,8157896
:51,7,7,350,850623
Strawberries,7,7,350,850623
Apr,7,7,350,850623
:54,7,7,371,10016864
Strawberries,7,7,371,10016864
Apr,7,7,371,10016864
:55,5,5,270,790990
Strawberries,5,5,270,790990
Apr,5,5,270,790990
:59,8,8,468,9187120
Strawberries,8,8,468,9187120
Apr,8,8,468,9187120
:30,,,,
:00,1,1,59,60016
Strawberries,1,1,59,60016
Apr,1,1,59,60016
:01,5,5,1,903647
Strawberries,5,5,1,903647
Apr,5,5,1,903647
:03,8,8,20,1270560
Strawberries,8,8,20,1270560
Apr,8,8,20,1270560
:04,4,4,12,6775088
Strawberries,4,4,12,6775088
Jul,,,,
16-Jul,4,4,12,6775088
:06,6,6,36,11564376
Strawberries,6,6,36,11564376
Apr,6,6,36,11564376
:07,1,1,6,63712
Strawberries,1,1,6,63712
Apr,1,1,6,63712
:08,6,6,42,829224
Strawberries,6,6,42,829224
Apr,6,6,42,829224
:10,4,4,40,6775040
Strawberries,4,4,40,6775040
Apr,4,4,40,6775040
:11,2,2,20,4397288
Strawberries,2,2,20,4397288
Apr,2,2,20,4397288
:12,6,6,66,782986
Strawberries,6,6,66,782986
Apr,6,6,66,782986
:15,10,10,144,9243384
Strawberries,10,10,144,9243384
Apr,10,10,144,9243384
:16,3,3,45,102920
Strawberries,3,3,45,102920
Apr,3,3,45,102920
:19,6,6,108,8926360
Strawberries,6,6,108,8926360
Apr,6,6,108,8926360
:20,5,5,95,589080
Strawberries,5,5,95,589080
Apr,5,5,95,589080
:23,6,6,132,10420784
Strawberries,6,6,132,10420784
Apr,6,6,132,10420784
:24,6,6,138,533392
Strawberries,6,6,138,533392
Apr,6,6,138,533392
:28,7,7,196,9914416
Strawberries,7,7,196,9914416
Apr,7,7,196,9914416
:29,1,1,28,58449
Strawberries,1,1,28,58449
Apr,1,1,28,58449
:30,5,5,149,496765
Strawberries,5,5,149,496765
Apr,5,5,149,496765
:31,1,1,30,92528
Strawberries,1,1,30,92528
Apr,1,1,30,92528
:33,9,9,294,1273830
Strawberries,9,9,294,1273830
Apr,9,9,294,1273830
:36,6,6,212,13074608
Strawberries,6,6,212,13074608
Apr,6,6,212,13074608
:37,4,4,148,567479
Strawberries,4,4,148,567479
Apr,4,4,148,567479
:40,6,6,240,13233176
Strawberries,6,6,240,13233176
Apr,6,6,240,13233176
:41,4,4,164,624792
Strawberries,4,4,164,624792
Apr,4,4,164,624792
:44,6,6,264,11882336
Strawberries,6,6,264,11882336
Apr,6,6,264,11882336
:46,4,4,180,361529
Strawberries,4,4,180,361529
Apr,4,4,180,361529
:49,6,6,288,10599200
Strawberries,6,6,288,10599200
Apr,6,6,288,10599200
:50,3,3,147,340272
Strawberries,3,3,147,340272
Apr,3,3,147,340272
:52,6,6,312,11748896
Strawberries,6,6,312,11748896
May,6,6,312,11748896
:53,6,6,318,225264
Strawberries,6,6,318,225264
May,6,6,318,225264
:58,9,9,513,11118845
Strawberries,9,9,513,11118845
May,9,9,513,11118845
:31,,,,
:00,6,6,118,454560
Strawberries,6,6,118,454560
May,6,6,118,454560
:02,4,4,8,741992
Strawberries,4,4,8,741992
May,4,4,8,741992
:03,5,5,10,226953
Strawberries,5,5,10,226953
May,5,5,10,226953
:06,6,6,30,14165664
Strawberries,6,6,30,14165664
May,6,6,30,14165664
:07,4,4,24,182034
Strawberries,4,4,24,182034
May,4,4,24,182034
:10,5,5,45,14137432
Strawberries,5,5,45,14137432
May,5,5,45,14137432
:11,4,4,40,156544
Strawberries,4,4,40,156544
May,4,4,40,156544
:14,6,6,80,12613128
Strawberries,6,6,80,12613128
May,6,6,80,12613128
:15,3,3,45,162015
Strawberries,3,3,45,162015
May,3,3,45,162015
:18,5,5,90,10093520
Strawberries,5,5,90,10093520
May,5,5,90,10093520
:19,4,4,76,157653
Strawberries,4,4,76,157653
May,4,4,76,157653
:22,5,5,110,11140192
Strawberries,5,5,110,11140192
May,5,5,110,11140192
:23,5,5,115,88974
Strawberries,5,5,115,88974
May,5,5,115,88974
:28,8,8,224,11180680
Strawberries,8,8,224,11180680
May,8,8,224,11180680
:29,1,1,29,43743
Strawberries,1,1,29,43743
May,1,1,29,43743
:30,7,7,210,223327
Strawberries,7,7,210,223327
May,7,7,210,223327
:31,1,1,30,173573
Strawberries,1,1,30,173573
May,1,1,30,173573
:32,5,5,160,892224
Strawberries,5,5,160,892224
May,5,5,160,892224
:33,4,4,128,109520
Strawberries,4,4,128,109520
May,4,4,128,109520
:36,5,5,175,14652896
Strawberries,5,5,175,14652896
May,5,5,175,14652896
:37,5,5,180,219116
Strawberries,5,5,180,219116
May,5,5,180,219116
:39,4,4,156,9457936
Strawberries,4,4,156,9457936
May,4,4,156,9457936
:40,4,4,158,1931359
Strawberries,4,4,158,1931359
May,4,4,158,1931359
:41,3,3,120,79744
Strawberries,3,3,120,79744
May,3,3,120,79744
:43,5,5,215,11418936
Strawberries,5,5,215,11418936
May,5,5,215,11418936
:44,6,6,264,204987
Strawberries,6,6,264,204987
